"","Comune","Percentuale di sì"
"1","Chavannes-sur-Moudon VD",80.8
"2","Raperswilen TG",79.3
"3","Rossenges VD",78.8
"4","Ferrera GR",75.9
"5","Cuarny VD",72.6
"6","Rovray VD",72.3
"7","Hasle LU",72.2
"8","Cama GR",71
"9","Ufhusen LU",70.8
"10","Chevroux VD",70
"11","Schmitten GR",69.2
"12","Mutrux VD",68.5
"13","Poliez-Pittet VD",68.4
"14","Buseno GR",68
"15","Flums SG",67.9
"16","Rossa GR",67.9
"17","Bioley-Orjulaz VD",67.8
"18","Ependes VD",67.7
"19","Chavannes-le-Chêne VD",67.4
"20","Adlikon ZH",67.3
"21","Bullet VD",67.3
"22","Treytorrens (Payerne) VD",67.3
"23","Rances VD",67.1
"24","Santa Maria in Calanca GR",66.7
"25","Mauborget VD",66.7
"26","Pailly VD",66.5
"27","Buch am Irchel ZH",66.4
"28","Novalles VD",66.2
"29","San Vittore GR",65.8
"30","Bettwiesen TG",65.8
"31","Luzein GR",65.7
"32","Prévonloup VD",65.4
"33","Oberembrach ZH",65.3
"34","Dompierre VD",65.3
"35","Aesch LU",65.2
"36","Rougemont VD",65.1
"37","Vugelles-La Mothe VD",65
"38","Dozwil TG",64.8
"39","Bremblens VD",64.8
"40","Démoret VD",64.7
"41","Mex VD",64.6
"42","Trey VD",64.6
"43","Valeyres-sous-Ursins VD",64.5
"44","Coinsins VD",64.4
"45","Valeyres-sous-Montagny VD",64.4
"46","Höri ZH",64.3
"47","Corcelles-le-Jorat VD",64.3
"48","Rickenbach TG",64.2
"49","Syens VD",64.2
"50","Orzens VD",63.9
