"","Comune","Percentuale di sì"
"1","Vufflens-la-Ville VD",100
"2","Ferden VS",100
"3","Juriens VD",99.8
"4","Schupfart AG",99.4
"5","Vionnaz VS",99.4
"6","Elsau ZH",99.3
"7","Sattel SZ",99.1
"8","Neyruz FR",99
"9","Wegenstetten AG",98.7
"10","Hauterive NE",98.7
"11","Buchrain LU",98.6
"12","Haute-Ajoie JU",98.6
"13","Basilea BS",98.4
"14","Wettswil am Albis ZH",98.1
"15","Steinmaur ZH",98.1
"16","Dürrenroth BE",98.1
"17","Trimmis GR",98.1
"18","Schwerzenbach ZH",97.9
"19","Adligenswil LU",97.9
"20","Brunegg AG",97.9
"21","Herdern TG",97.9
"22","Raron VS",97.8
"23","Port-Valais VS",97.7
"24","Clos du Doubs JU",97.6
"25","Kallnach BE",97.5
"26","Randa VS",97.4
"27","Heimberg BE",97.3
"28","Busswil bei Melchnau BE",97.2
"29","Porza TI",97.2
"30","Widnau SG",97.1
"31","Trient VS",97.1
"32","Cressier NE",97.1
"33","Eiken AG",96.9
"34","Montilliez VD",96.9
"35","Gersau SZ",96.7
"36","Bursinel VD",96.7
"37","CarouGE GE",96.6
"38","Faoug VD",96.5
"39","Stabio TI",96.4
"40","Wartau SG",96.3
"41","Champagne VD",96.2
"42","Lutzenberg AR",96.1
"43","Tenero-Contra TI",96.1
"44","Oppens VD",96
"45","Bleienbach BE",95.9
"46","Poliez-Pittet VD",95.9
"47","Nottwil LU",95.8
"48","Versoix GE",95.8
"49","Zell LU LU",95.5
"50","Güttingen TG",95.5
