"","Gemeinde","Ja in %"
"1","Origlio TI",99.6
"2","Wald ZH",99.5
"3","Häfelfingen BL",99.5
"4","Rekingen AG",99.5
"5","Rüschegg BE",99.4
"6","Safiental GR",99.2
"7","Valsot GR",98.8
"8","Treyvaux FR",98.7
"9","Perroy VD",98.7
"10","Arth SZ",98.6
"11","Adligenswil LU",98.4
"12","Oberiberg SZ",98.4
"13","Chur GR",98.2
"14","Erlach BE",98.1
"15","Trimmis GR",97.4
"16","Bellach SO",97.3
"17","Wahlen BL",97.3
"18","Otelfingen ZH",96.7
"19","Kleinlützel SO",96.7
"20","Liestal BL",96.7
"21","La Chaux (Cossonay) VD",96.7
"22","Cama GR",96.4
"23","Turtmann-Unterems VS",96.4
"24","Curio TI",96.1
"25","Rheinwald GR",95.8
"26","Wangen an der Aare BE",95.7
"27","Uznach SG",95.7
"28","Burtigny VD",95.5
"29","Wolfwil SO",95.4
"30","Tavannes BE",95.3
"31","Courtepin FR",95.3
"32","Cadempino TI",95.3
"33","Bassersdorf ZH",95
"34","Uesslingen-Buch TG",94.9
"35","Gurmels FR",94.8
"36","Meiringen BE",94.3
"37","Martigny-Combe VS",94.2
"38","Diemtigen BE",93.9
"39","Wisen SO",93.8
"40","Beatenberg BE",93.7
"41","Roggenburg BL",93.5
"42","Masein GR",93.5
"43","Rickenbach LU",93.4
"44","Gossau SG",93.4
"45","Güttingen TG",93.4
"46","Bauma ZH",93.2
"47","Egolzwil LU",93.2
"48","Clos du Doubs JU",93
"49","Fischenthal ZH",92.6
"50","Herznach AG",92.6
