"","Gemeinde","Ja in %"
"1","Affoltern am Albis ZH",100
"2","Cortaillod NE",99.9
"3","Lenk BE",99.6
"4","Uznach SG",99.5
"5","Le Bémont JU",99.4
"6","Stetten SH",99.3
"7","Herrliberg ZH",99.1
"8","Bözberg AG",99
"9","Reconvilier BE",98.9
"10","Oberhof AG",98.9
"11","Grossaffoltern BE",98.6
"12","Quarten SG",98.6
"13","Lutzenberg AR",98.5
"14","Kappel am Albis ZH",98.4
"15","Bürglen UR",98.2
"16","Ferpicloz FR",98.1
"17","Bellwald VS",98.1
"18","PresinGE",98
"19","Guttet-Feschel VS",97.9
"20","Scharans GR",97.7
"21","Les Genevez JU",97.6
"22","Wildberg ZH",97.5
"23","Neggio TI",97.5
"24","Lüsslingen-Nennigkofen SO",97.4
"25","Biberist SO",97.4
"26","Bargen SH",97.4
"27","Jenaz GR",97.4
"28","Densbüren AG",97.4
"29","Ennetbaden AG",97.2
"30","Geltwil AG",97.1
"31","Oberthal BE",96.8
"32","Cham ZG",96.8
"33","Oberdorf SO",96.8
"34","Remetschwil AG",96.8
"35","Saubraz VD",96.8
"36","Terre di Pedemonte TI",96.6
"37","Pollegio TI",96.5
"38","Avully GE",96.4
"39","Himmelried SO",96.2
"40","Poliez-Pittet VD",96.2
"41","Beggingen SH",96
"42","Rossa GR",96
"43","Massongex VS",96
"44","Frauenkappelen BE",95.9
"45","Hellikon AG",95.9
"46","Maienfeld GR",95.7
"47","Buttisholz LU",95.5
"48","Sumiswald BE",95.4
"49","Sachseln OW",95.3
"50","Brügg BE",95.2
