"","Commune","Pourcentage de non"
"1","Bellegarde (FR)",100
"2","Wangen (SZ)",99.9
"3","Dietwil (AG)",99.9
"4","Albula/Alvra (GR)",99.8
"5","Corcelles-près-Concise (VD)",99.5
"6","Orzens (VD)",99.4
"7","Bister (VS)",99.4
"8","Villeret (BE)",99.3
"9","Lohn (SH)",99.3
"10","Büttikon (AG)",99.1
"11","Grimisuat (VS)",99.1
"12","Tannay (VD)",99
"13","Hubersdorf (SO)",98.9
"14","Commugny (VD)",98.9
"15","Rapperswil (BE)",98.8
"16","Aadorf (TG)",98.8
"17","Huttwil (BE)",98.5
"18","Romont (BE)",98.4
"19","Affeltrangen (TG)",98.4
"20","Turgi (AG)",98.3
"21","Mörschwil (SG)",98.2
"22","Alberswil (LU)",98.1
"23","Hauterive (FR)",98.1
"24","Brissago (TI)",98.1
"25","Corcelles-le-Jorat (VD)",98.1
"26","Escholzmatt-Marbach (LU)",98
"27","Gempen (SO)",98
"28","Beggingen (SH)",98
"29","Obersiggenthal (AG)",97.9
"30","Saas-Balen (VS)",97.8
"31","Misery-Courtion (FR)",97.7
"32","Blenio (TI)",97.6
"33","Lyssach (BE)",97.4
"34","Rüte (AI)",97.3
"35","Gruyères (FR)",97.2
"36","Rickenbach (TG)",97.1
"37","Quarten (SG)",96.9
"38","Eptingen (BL)",96.7
"39","Le Landeron (NE)",96.5
"40","Bellevue (GE)",96.4
"41","Gessenay (BE)",96.2
"42","Rances (VD)",96.2
"43","Hägendorf (SO)",95.9
"44","Weesen (SG)",95.8
"45","Jenaz (GR)",95.8
"46","Rossenges (VD)",95.8
"47","Jussy (GE)",95.8
"48","Metzerlen-Mariastein (SO)",95.7
"49","Wallisellen (ZH)",95.6
"50","Obergerlafingen (SO)",95.6
