"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,47.6,47.6,52.4,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Aeugst am Albis hat mit 52,4 Prozent Nein gesagt zur Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"". Der Gegenvorschlag des Kantonsrates hingegen fand eine Ja-Mehrheit von 62,1 Prozent.",,
2,48.5,48.5,51.5,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Affoltern am Albis hat mit 51,5 Prozent Nein gesagt zur Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"". Der Gegenvorschlag des Kantonsrates hingegen fand eine Ja-Mehrheit von 60,8 Prozent.",,
3,42.9,42.9,57.1,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Bonstetten hat mit 57,1 Prozent Nein gesagt zur Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"". Der Gegenvorschlag des Kantonsrates hingegen fand eine Ja-Mehrheit von 62,7 Prozent.",,
4,46.1,46.1,53.9,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","53,9 Prozent der Abstimmenden in Hausen am Albis haben sich gegen die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" ausgesprochen. Der Gegenvorschlag des Kantonsrates hingegen erhielt eine Zustimmung von 58,8 Prozent.",,
5,44.1,44.1,55.9,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Hedingen hat sich mit 55,9 Prozent gegen die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" ausgesprochen. Der Gegenvorschlag des Kantonsrates hingegen wurde mit 59,6 Prozent angenommen.",,
6,56.3,56.3,43.7,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Kappel am Albis hat die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" mit 56,3 Prozent und den Gegenvorschlag des Kantonsrates mit 66,9 Prozent angenommen.Bei der Stichfrage haben sich die Stimmberechtigten mit 51,6 Prozent für die Volksinitiative ausgesprochen.",,
7,45.1,45.1,54.9,"Knonau ZH","Knonau (ZH)","Knonau ZH","Knonau hat sich mit 54,9 Prozent gegen die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" ausgesprochen. Der Gegenvorschlag des Kantonsrates hingegen wurde mit 59,4 Prozent angenommen.",,
8,51.9,51.9,48.1,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","51,9 der Stimmbürgerinnen und Stimmbürger von Maschwanden haben sich für die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" und 58,7 Prozent für den Gegenvorschlag des Kantonsrats ausgesprochen. Bei der Stichfrage gaben 51,4 Prozent der Volksinitiative den Vorrang.",,
9,68,68,32,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Mettmenstetten hat mit 68 Prozent Ja gesagt zur Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"". Den Gegenvorschlag des Kantonsrates lehnte eine Mehrheit von 54 Prozent ab.",,
10,51.7,51.7,48.3,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","51,7 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich für die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" und 62,8 Prozent für den Gegenvorschlag des Kantonsrats ausgesprochen. Bei der Stichfrage gaben 50,6 Prozent dem Gegenvorschlag den Vorrang.",,
11,51.9,51.9,48.1,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" ist in Ottenbach mit 51,9 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag des Gemeinderats überzeugte einen Mehrheit von 61,8 Prozent. Bei der Stichfrage bevorzugten 51,5 Prozent den Gegenvorschlag.",,
12,39.3,39.3,60.7,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Rifferswil hat sich mit 60,7 Prozent gegen die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" ausgesprochen. Der Gegenvorschlag des Kantonsrates hingegen wurde mit 59,7 Prozent angenommen.",,
13,49.3,49.3,50.7,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","50,7 Prozent der Abstimmenden in Stallikon haben sich gegen die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" ausgesprochen. Der Gegenvorschlag des Kantonsrates hingegen erhielt eine Zustimmung von 59,1 Prozent.",,
14,47.2,47.2,52.8,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Wettswil am Albis hat mit 52,8 Prozent Nein gesagt zur Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"". Der Gegenvorschlag des Kantonsrates hingegen fand eine Ja-Mehrheit von 64,5 Prozent.",,
21,66.4,66.4,33.6,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","66,4 der Stimmbürgerinnen und Stimmbürger von Adlikon haben sich für die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" und 56,7 Prozent für den Gegenvorschlag des Kantonsrats ausgesprochen. Bei der Stichfrage gaben 62,5 Prozent der Volksinitiative den Vorrang.",,
22,54.7,54.7,45.3,"Benken ZH","Benken (ZH)","Benken ZH","Die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" ist in Benken ZH mit 54,7 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag des Gemeinderats überzeugte einen Mehrheit von 57,1 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 55,2 Prozent für die Volksinitiative ausgesprochen.",,
23,63.8,63.8,36.2,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","Berg am Irchel hat die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" mit 63,8 Prozent und den Gegenvorschlag des Kantonsrates mit 57 Prozent angenommen.Bei der Stichfrage haben sich die Stimmberechtigten mit 56,5 Prozent für die Volksinitiative ausgesprochen.",,
24,57.9,57.9,42.1,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","57,9 der Stimmbürgerinnen und Stimmbürger von Buch am Irchel haben sich für die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" und 60,3 Prozent für den Gegenvorschlag des Kantonsrats ausgesprochen. Bei der Stichfrage gaben 54,1 Prozent der Volksinitiative den Vorrang.",,
25,45.7,45.7,54.3,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","54,3 Prozent der Abstimmenden in Dachsen haben sich gegen die Volksinitiative ""Bei Polizeimeldungen sind die Nationalitäten anzugeben"" ausgesprochen. Der Gegenvorschlag des Kantonsrates hingegen erhielt eine Zustimmung von 56,9 Prozent.",,
