"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,31.7,31.7,68.3,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis ist gegen das Freihandelsabkommen mit Indonesien: Sie hat den Bundesbeschluss mit 68,3 Prozent Nein verworfen.","Les habitants d'Aeugst am Albis rejettent l'accord de libre-échange avec l'Indonésie avec 68,3 pour cent de non.","Nel comune di Aeugst am Albis l'accordo di libero scambio con l'Indonesia è stato bocciato con il 68,3 percento dei voti."
2,31,31,69,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Das Freihandelsabkommen mit Indonesien ist in Affoltern am Albis mit 69 Prozent abgelehnt worden.","C'est non à 69 pour cent à l'accord de libre-échange avec l'Indonésie à Affoltern am Albis.","Con il 69 percento di ""no"", i cittadini del comune di Affoltern am Albis hanno bocciato il partenariato economico globale con l'Indonesia."
3,30.7,30.7,69.3,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Das Freihandelsabkommen mit Indonesien ist in Bonstetten mit 69,3 Prozent abgelehnt worden.","C'est non à 69,3 pour cent à l'accord de libre-échange avec l'Indonésie à Bonstetten.","Con il 69,3 percento di ""no"", i cittadini del comune di Bonstetten hanno bocciato il partenariato economico globale con l'Indonesia."
4,29.4,29.4,70.6,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","70,6 Prozent Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben Nein gesagt zum Freihandelsabkommen mit Indonesien.","A Hausen am Albis, les habitants disent non à 70,6 pour cent à l'accord de libre-échange avec l'Indonésie.","Nel comune di Hausen am Albis l'accordo di libero scambio con l'Indonesia è stato bocciato con il 70,6 percento dei voti."
5,30.5,30.5,69.5,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","69,5 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen haben das Freihandelsabkommen mit Indonesien abgelehnt.","Les habitants de Hedingen s'opposent à l'accord de libre-échange avec l'Indonésie avec 69,5 pour cent de non.","No all'accordo di libero scambio con l'Indonesia nel comune di Hedingen: i cittadini hanno respinto il testo con il 69,5 percento dei voti."
6,32.3,32.3,67.7,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Das Freihandelsabkommen mit Indonesien ist in Kappel am Albis mit 67,7 Prozent abgelehnt worden.","C'est non à 67,7 pour cent à l'accord de libre-échange avec l'Indonésie à Kappel am Albis.","Con il 67,7 percento di ""no"", i cittadini del comune di Kappel am Albis hanno bocciato il partenariato economico globale con l'Indonesia."
7,32.6,32.6,67.4,"Knonau ZH","Knonau (ZH)","Knonau ZH","67,4 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau haben das Freihandelsabkommen mit Indonesien abgelehnt.","Les habitants de Knonau s'opposent à l'accord de libre-échange avec l'Indonésie avec 67,4 pour cent de non.","No all'accordo di libero scambio con l'Indonesia nel comune di Knonau: i cittadini hanno respinto il testo con il 67,4 percento dei voti."
8,29.5,29.5,70.5,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Mit 210 Nein zu 88 Ja haben die Stimmbürgerinnen und Stimmbürger von Maschwanden das Freihandelsabkommen mit Indonesien abgelehnt. Das entspricht 70,5 Prozent.","A Maschwanden, les habitants sont défavorables à l'accord de libre-échange avec l'Indonésie avec 70,5 pour cent de non.","I cittadini di Maschwanden si sono espressi contro l'accordo di libero scambio con l'Indonesia. Il testo è stato respinto con il 70,5 percento dei voti."
9,32.4,32.4,67.6,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","67,6 Prozent Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben Nein gesagt zum Freihandelsabkommen mit Indonesien.","A Mettmenstetten, les habitants disent non à 67,6 pour cent à l'accord de libre-échange avec l'Indonésie.","Nel comune di Mettmenstetten l'accordo di libero scambio con l'Indonesia è stato bocciato con il 67,6 percento dei voti."
10,33.4,33.4,66.6,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","66,6 Prozent Stimmbürgerinnen und Stimmbürger von Obfelden haben Nein gesagt zum Freihandelsabkommen mit Indonesien.","A Obfelden, les habitants disent non à 66,6 pour cent à l'accord de libre-échange avec l'Indonésie.","Nel comune di Obfelden l'accordo di libero scambio con l'Indonesia è stato bocciato con il 66,6 percento dei voti."
11,29.9,29.9,70.1,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","70,1 Prozent der Stimmbürgerinnen und Stimmbürger von Ottenbach haben das Freihandelsabkommen mit Indonesien abgelehnt.","Les habitants d'Ottenbach s'opposent à l'accord de libre-échange avec l'Indonésie avec 70,1 pour cent de non.","No all'accordo di libero scambio con l'Indonesia nel comune di Ottenbach: i cittadini hanno respinto il testo con il 70,1 percento dei voti."
12,33.2,33.2,66.8,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","66,8 Prozent der Stimmbürgerinnen und Stimmbürger von Rifferswil haben das Freihandelsabkommen mit Indonesien abgelehnt.","Les habitants de Rifferswil s'opposent à l'accord de libre-échange avec l'Indonésie avec 66,8 pour cent de non.","No all'accordo di libero scambio con l'Indonesia nel comune di Rifferswil: i cittadini hanno respinto il testo con il 66,8 percento dei voti."
13,33.1,33.1,66.9,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","66,9 Prozent Stimmbürgerinnen und Stimmbürger von Stallikon haben Nein gesagt zum Freihandelsabkommen mit Indonesien.","A Stallikon, les habitants disent non à 66,9 pour cent à l'accord de libre-échange avec l'Indonésie.","Nel comune di Stallikon l'accordo di libero scambio con l'Indonesia è stato bocciato con il 66,9 percento dei voti."
14,41.7,41.7,58.3,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Die Gemeinde Wettswil am Albis ist gegen das Freihandelsabkommen mit Indonesien: Sie hat den Bundesbeschluss mit 58,3 Prozent Nein verworfen.","Les habitants de Wettswil am Albis rejettent l'accord de libre-échange avec l'Indonésie avec 58,3 pour cent de non.","Nel comune di Wettswil am Albis l'accordo di libero scambio con l'Indonesia è stato bocciato con il 58,3 percento dei voti."
21,26.1,26.1,73.9,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","In Adlikon das Freihandelsabkommen mit Indonesien keine Mehrheit gefunden: 73,9 Prozent haben es abgelehnt.","L'accord de libre-échange avec l'Indonésie échoue à Adlikon avec 73,9 pour cent de non.","A Adlikon i cittadini hanno bocciato, con il 73,9 percento dei voti, l'accordo di libero scambio con l'Indonesia."
22,21.9,21.9,78.1,"Benken ZH","Benken (ZH)","Benken ZH","Nein zum Freihandelsabkommen mit Indonesien: Benken ZH hat den Bundesbeschluss mit 78,1 Prozent Nein-Stimmen verworfen.","L'accord de libre-échange avec l'Indonésie ne passe pas la rampe à Benken (ZH) avec 78,1 pour cent de non.","Da Benken ZH è arrivato un ""no"" alle urne per il partenariato economico globale con l'Indonesia. I cittadini hanno respinto il testo con il 78,1 percento dei voti."
